using device: cuda
loaded 338025 tokens
1 epoch = 20 batches
num decayed parameter tensors: 50, with 124,354,560 parameters
num non-decayed parameter tensors: 98, with 121,344 parameters
using fused AdamW: True
step0 | loss: 10.947460174560547 | dt: 17781.67ms | tok/sec:  921.40 | norm: 28.57 | lr: 0.00001000
step94 | loss: 5.5941972732543945 | dt: 1425.53ms | tok/sec:  11493.30 | norm: 1.05 | lr: 0.00059994
step95 | loss: 5.389496803283691 | dt: 2026.70ms | tok/sec:  8084.07 | norm: 1.02 | lr: 0.00059993
step96 | loss: 5.315914154052734 | dt: 1445.08ms | tok/sec:  11337.79 | norm: 1.31 | lr: 0.00059993
step97 | loss: 5.290069580078125 | dt: 2433.41ms | tok/sec:  6732.94 | norm: 1.21 | lr: 0.00059993
step98 | loss: 5.276971340179443 | dt: 1978.34ms | tok/sec:  8281.67 | norm: 1.26 | lr: 0.00059992
step99 | loss: 5.041631698608398 | dt: 2807.39ms | tok/sec:  5836.03 | norm: 1.03 | lr: 0.00059992
step100 | loss: 5.45743465423584 | dt: 1554.83ms | tok/sec:  10537.52 | norm: 1.53 | lr: 0.00059991
step101 | loss: 5.117744445800781 | dt: 2031.17ms | tok/sec:  8066.27 | norm: 1.38 | lr: 0.00059991
step102 | loss: 5.284458160400391 | dt: 1428.98ms | tok/sec:  11465.50 | norm: 1.24 | lr: 0.00059990
step103 | loss: 5.169736862182617 | dt: 2022.40ms | tok/sec:  8101.28 | norm: 1.29 | lr: 0.00059990
step104 | loss: 5.086170196533203 | dt: 1421.28ms | tok/sec:  11527.61 | norm: 1.59 | lr: 0.00059989
step105 | loss: 5.251025676727295 | dt: 2028.17ms | tok/sec:  8078.22 | norm: 1.21 | lr: 0.00059989
step106 | loss: 5.455170631408691 | dt: 1425.26ms | tok/sec:  11495.47 | norm: 1.37 | lr: 0.00059988
step107 | loss: 5.328122138977051 | dt: 2025.99ms | tok/sec:  8086.92 | norm: 1.65 | lr: 0.00059988
step108 | loss: 5.2731733322143555 | dt: 1517.44ms | tok/sec:  10797.17 | norm: 1.22 | lr: 0.00059987
step109 | loss: 5.188891410827637 | dt: 2422.61ms | tok/sec:  6762.97 | norm: 1.43 | lr: 0.00059987
step110 | loss: 5.233156204223633 | dt: 1754.43ms | tok/sec:  9338.62 | norm: 2.17 | lr: 0.00059986
step111 | loss: 5.18618106842041 | dt: 2031.76ms | tok/sec:  8063.96 | norm: 1.06 | lr: 0.00059986
step112 | loss: 5.097131252288818 | dt: 1444.79ms | tok/sec:  11340.03 | norm: 1.39 | lr: 0.00059985
step113 | loss: 5.386238098144531 | dt: 2889.53ms | tok/sec:  5670.13 | norm: 1.83 | lr: 0.00059985
step114 | loss: 5.448014259338379 | dt: 1441.96ms | tok/sec:  11362.32 | norm: 1.57 | lr: 0.00059984
step115 | loss: 5.194671630859375 | dt: 2022.09ms | tok/sec:  8102.51 | norm: 0.87 | lr: 0.00059983
step116 | loss: 5.144759178161621 | dt: 1414.58ms | tok/sec:  11582.27 | norm: 1.54 | lr: 0.00059983
step117 | loss: 5.117717742919922 | dt: 2006.12ms | tok/sec:  8167.01 | norm: 1.36 | lr: 0.00059982
step118 | loss: 5.090821266174316 | dt: 1512.25ms | tok/sec:  10834.19 | norm: 1.51 | lr: 0.00059982
step119 | loss: 4.8986310958862305 | dt: 2077.36ms | tok/sec:  7886.92 | norm: 2.01 | lr: 0.00059981
step120 | loss: 5.320435523986816 | dt: 1444.98ms | tok/sec:  11338.56 | norm: 1.64 | lr: 0.00059980
step121 | loss: 5.001441955566406 | dt: 2143.81ms | tok/sec:  7642.47 | norm: 1.63 | lr: 0.00059980
step122 | loss: 5.143889427185059 | dt: 1749.47ms | tok/sec:  9365.15 | norm: 1.46 | lr: 0.00059979
step123 | loss: 5.045618057250977 | dt: 2022.69ms | tok/sec:  8100.12 | norm: 1.65 | lr: 0.00059978
step124 | loss: 4.955933570861816 | dt: 1516.79ms | tok/sec:  10801.74 | norm: 1.17 | lr: 0.00059978
step125 | loss: 5.164717674255371 | dt: 2055.19ms | tok/sec:  7972.01 | norm: 1.54 | lr: 0.00059977
